,Loyalty_Number,Year,Month,Flights_Booked,Flights_with_Companions,Total_Flights,Distance,Points_Accumulated,Points_Redeemed,Dollar_Cost_Points_Redeemed,Province,City,Postal_Code,Gender,Education,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Salary
575,101018,2018,12,0,0,0,0,0.0,0,0,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,Married,Nova,4392.98,Standard,2014,4,56523
599,101148,2018,12,9,3,12,3720,372.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,Single,Nova,4770.55,Standard,2012,11,45229
623,101356,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Male,Bachelor,Married,Nova,7482.64,Standard,2012,11,50688
647,101363,2018,12,8,0,8,1400,140.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,Married,Star,12898.59,Standard,2016,4,59310
671,691626,2018,12,11,0,11,4279,427.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,College,Married,Star,5085.02,2018 Promotion,2018,4,79381
695,101515,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,Married,Nova,7737.27,Standard,2014,1,68711
719,101540,2018,12,16,0,16,2448,244.0,0,0,Ontario,London,M5B 3E4,Female,Bachelor,Single,Star,2688.88,Standard,2017,5,69020
743,101544,2018,11,10,4,14,1652,165.0,0,0,Quebec,Montreal,H2Y 2W2,Female,Bachelor,Married,Nova,24249.34,Standard,2014,4,56531
767,101547,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Female,College,Married,Star,5619.69,Standard,2017,10,79381
791,101581,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Male,Bachelor,Married,Star,4595.46,Standard,2012,10,87781
815,101594,2018,12,17,6,23,2829,282.0,0,0,Ontario,Toronto,P2T 6G3,Male,Doctor,Divorced,Star,5205.75,Standard,2015,8,239867
839,101644,2018,12,6,0,6,2628,262.0,0,0,Ontario,Toronto,P1L 8X8,Female,Master,Married,Star,8382.63,Standard,2018,11,101038
863,101663,2018,12,9,0,9,4221,422.0,0,0,Ontario,Toronto,M2M 7K8,Male,Bachelor,Married,Aurora,5129.74,Standard,2016,9,94946
887,101664,2018,12,3,3,6,516,51.0,0,0,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,Married,Aurora,9002.41,Standard,2013,7,87654
911,101768,2018,12,5,5,10,1200,120.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,Single,Nova,13916.93,Standard,2018,9,70267
935,101895,2018,12,7,0,7,1393,139.0,0,0,Ontario,Ottawa,K1F 2R2,Female,Bachelor,Single,Nova,24543.2,Standard,2013,2,81883
983,101902,2018,12,0,0,0,0,0.0,0,0,Ontario,London,M5B 3E4,Female,College,Married,Aurora,6265.34,Standard,2017,1,79381
1007,101945,2018,12,12,6,18,3960,396.0,0,0,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,Married,Star,4202.66,Standard,2013,11,86098
1031,102168,2018,12,11,5,16,2448,244.0,0,0,Ontario,Toronto,P5S 6R4,Female,Bachelor,Divorced,Nova,7166.34,Standard,2018,1,75265
1055,102184,2018,12,14,5,19,3458,345.0,0,0,Alberta,Peace River,T9O 2W2,Male,Bachelor,Married,Star,4923.18,Standard,2016,4,76887
1079,102207,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Male,Bachelor,Divorced,Nova,6960.92,Standard,2012,5,86413
1103,102299,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R6Y 4T5,Female,College,Single,Star,2089.34,Standard,2015,7,79381
1127,102308,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 2J6,Male,College,Single,Star,12866.89,Standard,2018,11,79381
1151,102311,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2Z 4K1,Female,Bachelor,Single,Star,7507.46,Standard,2016,10,76485
1175,102376,2018,11,0,0,0,0,0.0,0,0,Ontario,Sudbury,M5V 1G5,Male,College,Single,Aurora,12765.78,2018 Promotion,2018,3,79381
1199,102464,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 9K8,Male,Bachelor,Married,Star,2725.68,Standard,2016,7,60563
1223,102615,2018,12,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S1J 3C5,Female,Doctor,Married,Aurora,7590.05,Standard,2018,9,51630
1247,102726,2018,12,11,0,11,3806,380.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Married,Nova,8044.87,Standard,2017,8,84147
1271,102730,2018,12,13,6,19,2052,205.0,0,0,New Brunswick,Moncton,E1A 2A7,Male,High School or Below,Single,Star,2453.57,Standard,2017,12,80919
1295,102740,2018,12,14,0,14,2086,208.0,0,0,Ontario,Toronto,P1W 1K4,Female,Bachelor,Married,Star,16922.13,Standard,2018,6,100571
1319,102788,2017,5,7,6,13,1040,104.0,676,55,Quebec,Montreal,H2T 2J6,Male,Bachelor,Single,Nova,11124.21,2018 Promotion,2018,3,31170
1343,159942,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M8Y 4K8,Female,Bachelor,Divorced,Nova,5532.63,Standard,2012,8,52192
1367,102877,2018,12,0,0,0,0,0.0,0,0,Ontario,Trenton,K8V 4B2,Female,College,Married,Nova,2863.04,Standard,2014,7,79381
1391,102982,2018,12,9,8,17,2907,290.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,Married,Aurora,5235.57,Standard,2016,11,84442
1415,103043,2018,12,3,0,3,1116,111.0,0,0,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,Married,Star,3351.21,Standard,2018,12,97920
1439,103151,2018,11,13,0,13,3081,308.0,0,0,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,Married,Aurora,32613.69,Standard,2013,5,64962
1463,103217,2018,12,14,9,23,4416,441.0,0,0,Quebec,Montreal,H2T 2J6,Male,College,Single,Star,6439.33,Standard,2013,10,79381
1487,103304,2018,12,0,0,0,0,0.0,0,0,Alberta,Banff,T4V 1D4,Male,Bachelor,Married,Star,2683.47,Standard,2013,10,67227
1511,103340,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,College,Single,Star,7577.07,Standard,2017,3,79381
1535,103352,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 9K8,Male,Bachelor,Married,Aurora,5555.49,Standard,2014,11,69742
1559,103359,2018,12,16,0,16,4640,464.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,College,Single,Star,4502.87,Standard,2016,3,79381
1583,103362,2018,12,0,0,0,0,0.0,0,0,Quebec,Tremblant,H5Y 2S9,Male,College,Single,Star,4807.0,Standard,2018,10,79381
1607,103383,2018,12,0,0,0,0,0.0,0,0,Ontario,Kingston,M9K 2P4,Male,Doctor,Married,Aurora,13466.92,Standard,2015,6,65018
1631,103436,2017,8,18,4,22,1496,149.0,594,48,Quebec,Montreal,H2T 9K8,Male,Bachelor,Single,Star,5015.01,Standard,2013,5,67445
1655,103490,2018,12,15,0,15,2745,274.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Male,High School or Below,Single,Nova,17651.96,Standard,2013,7,65543
1679,103502,2018,12,11,9,20,2320,232.0,0,0,Ontario,Toronto,M8Y 4K8,Male,Bachelor,Married,Star,2580.85,Standard,2017,5,66226
1703,103536,2018,12,17,3,20,1400,140.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,College,Married,Nova,9202.64,Standard,2012,10,79381
1727,103699,2018,12,16,0,16,3872,387.0,0,0,Alberta,Peace River,T9O 2W2,Male,Bachelor,Single,Nova,5595.39,Standard,2018,1,86388
1751,103731,2018,12,2,2,4,1764,176.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,Married,Nova,4015.34,Standard,2016,1,90487
1775,103758,2018,12,5,1,6,2148,214.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Single,Star,14727.51,Standard,2018,6,103461
1799,103823,2018,5,3,3,6,444,44.0,549,44,Ontario,Toronto,M1R 4K3,Female,High School or Below,Married,Nova,4812.53,Standard,2014,10,52820
1823,103860,2018,11,0,0,0,0,0.0,0,0,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,Married,Nova,3358.53,Standard,2014,5,75348
1847,103862,2018,12,11,9,20,3680,368.0,0,0,Ontario,Kingston,M9K 2P4,Female,Doctor,Married,Star,4878.83,Standard,2013,7,299560
1871,103916,2018,12,3,0,3,3600,360.0,0,0,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,Married,Star,3803.92,Standard,2014,3,60894
1895,103969,2018,12,5,5,10,770,77.0,0,0,Ontario,Ottawa,K1F 2R2,Male,Bachelor,Married,Aurora,31410.93,Standard,2015,4,52405
1919,103970,2018,12,17,8,25,3700,370.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Doctor,Married,Aurora,8257.67,Standard,2015,10,221857
1943,103975,2018,12,11,0,11,1804,180.0,0,0,Ontario,Toronto,M2Z 4K1,Male,Bachelor,Married,Star,2411.26,Standard,2018,8,71775
1967,103985,2018,12,5,5,10,3930,393.0,0,0,Ontario,Toronto,M2Z 4K1,Male,College,Single,Nova,2761.69,Standard,2018,9,79381
1991,104103,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,College,Married,Nova,8262.88,Standard,2016,5,79381
2015,104267,2018,12,11,9,20,3080,308.0,0,0,Ontario,Sudbury,M5V 1G5,Male,Bachelor,Married,Star,2701.04,2018 Promotion,2018,3,28642
2039,104353,2018,12,10,0,10,1810,181.0,0,0,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,Married,Star,15777.89,Standard,2014,1,104140
2063,627915,2018,12,11,3,14,4452,445.0,0,0,Alberta,Peace River,T9O 2W2,Male,Bachelor,Married,Star,16874.33,Standard,2014,11,72438
2087,104586,2018,12,0,0,0,0,0.0,0,0,Ontario,Ottawa,K1F 2R2,Male,Bachelor,Divorced,Aurora,7772.58,Standard,2016,12,86609
2111,104673,2018,12,11,2,13,4264,426.0,0,0,Ontario,Sudbury,M5V 1G5,Male,Bachelor,Married,Aurora,14723.41,Standard,2012,10,60006
2135,104732,2018,12,17,2,19,3572,357.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Married,Nova,8382.48,Standard,2016,1,50930
2159,104739,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 9K8,Female,High School or Below,Married,Nova,5498.94,Standard,2013,11,65565
2183,104849,2018,12,3,0,3,306,30.0,0,0,Ontario,Ottawa,K1F 2R2,Female,Bachelor,Married,Nova,2816.76,Standard,2014,3,63326
2207,104960,2018,12,0,0,0,0,0.0,0,0,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,Married,Star,2551.23,Standard,2012,6,90265
2231,105063,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Male,Doctor,Divorced,Star,7251.33,2018 Promotion,2018,3,236405
2255,105073,2018,12,11,5,16,3392,339.0,0,0,Ontario,Toronto,M2M 6J7,Male,College,Single,Aurora,7562.82,2018 Promotion,2018,3,79381
2279,105074,2018,12,17,1,18,3384,338.0,0,0,Ontario,Toronto,M1R 4K3,Male,Bachelor,Married,Nova,2799.75,Standard,2014,10,79727
2303,105145,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M8Y 4K8,Male,College,Single,Star,4839.11,Standard,2012,7,79381
2327,105193,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,Married,Nova,8838.09,Standard,2018,6,92396
2351,105214,2018,12,0,0,0,0,0.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Divorced,Star,5897.99,Standard,2013,8,88863
2375,471706,2018,12,14,9,23,4025,402.0,0,0,Ontario,Trenton,K8V 4B2,Female,Bachelor,Divorced,Nova,10484.92,Standard,2018,11,76622
2399,105352,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,College,Single,Star,3923.27,Standard,2014,1,79381
2423,105552,2018,12,0,0,0,0,0.0,0,0,Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,Married,Nova,8256.3,Standard,2015,11,77935
2447,105688,2018,12,1,1,2,2146,214.0,0,0,British Columbia,Vancouver,V1E 4R6,Female,College,Married,Aurora,5507.06,Standard,2014,6,79381
2471,105700,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,College,Single,Nova,7944.97,Standard,2013,8,79381
2495,105712,2018,11,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Female,College,Married,Nova,8311.14,Standard,2015,8,79381
2519,105789,2018,12,6,6,12,2100,210.0,0,0,Saskatchewan,Regina,S1J 3C5,Female,College,Single,Nova,2943.05,Standard,2012,6,79381
2543,105835,2018,12,5,0,5,3270,327.0,0,0,Ontario,Toronto,M8Y 4K8,Male,Bachelor,Married,Star,4756.13,2018 Promotion,2018,4,41085
2567,105841,2018,12,11,0,11,4301,430.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Star,17420.57,2018 Promotion,2018,3,55130
2591,105921,2017,9,15,3,18,1314,131.0,628,51,Quebec,Hull,J8Y 3Z5,Female,Bachelor,Married,Star,5041.45,Standard,2012,9,77255
2615,105932,2018,12,16,0,16,3376,337.0,0,0,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,Married,Star,3671.82,Standard,2016,7,62977
2639,105992,2018,12,1,1,2,2728,272.0,0,0,Ontario,Kingston,M9K 2P4,Female,Bachelor,Married,Nova,5905.97,Standard,2016,12,75700
2687,106001,2018,12,4,4,8,1152,115.0,0,0,Quebec,Montreal,H2Y 4R4,Female,High School or Below,Single,Star,4914.04,Standard,2013,1,39000
2711,106037,2018,12,9,7,16,2864,286.0,0,0,British Columbia,Victoria,V10 6T5,Male,Bachelor,Married,Nova,11281.52,Standard,2013,3,94980
2735,106038,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,Married,Star,7380.09,Standard,2016,9,47889
2759,106046,2018,11,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 9K8,Male,Bachelor,Single,Star,2658.22,2018 Promotion,2018,4,16628
2783,106048,2018,12,11,0,11,1320,132.0,0,0,British Columbia,Victoria,V10 6T5,Male,Doctor,Divorced,Star,11315.2,Standard,2018,11,70755
2807,107119,2018,11,13,7,20,2400,240.0,0,0,Ontario,Ottawa,K1F 2R2,Female,Bachelor,Single,Nova,17684.65,Standard,2013,4,92398
2831,106397,2018,12,16,3,19,2223,222.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,College,Married,Aurora,7902.68,Standard,2012,5,79381
2855,106444,2018,12,16,0,16,2512,251.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,College,Divorced,Aurora,8447.8,Standard,2017,12,79381
2879,106477,2018,12,6,0,6,996,99.0,0,0,British Columbia,Victoria,V10 6T5,Male,Bachelor,Divorced,Star,2487.26,Standard,2014,2,52935
2903,106589,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,Married,Star,11638.9,Standard,2013,8,71630
2927,106592,2018,12,0,0,0,0,0.0,0,0,Alberta,Banff,T4V 1D4,Male,Doctor,Married,Nova,11727.78,Standard,2016,6,298661
2951,106616,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 2J6,Male,Bachelor,Married,Star,2560.69,Standard,2018,7,53879
2975,106623,2018,12,5,0,5,675,67.0,0,0,British Columbia,Victoria,V10 6T5,Male,Bachelor,Married,Nova,10827.87,Standard,2018,9,77314
2999,106637,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Married,Star,7455.36,Standard,2014,4,86121
3023,106689,2018,12,2,2,4,3932,393.0,0,0,Ontario,Toronto,P1W 1K4,Female,Bachelor,Married,Nova,2795.41,Standard,2017,6,61554
3047,516133,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,Married,Aurora,11314.24,Standard,2014,1,77959
3071,106757,2018,12,7,0,7,3913,391.0,0,0,Alberta,Edmonton,T9G 1W3,Male,College,Married,Aurora,21423.64,Standard,2015,6,79381
3095,106776,2018,12,10,0,10,2540,254.0,0,0,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,Married,Star,19357.8,Standard,2012,12,50611
3119,106838,2018,12,4,0,4,3700,370.0,0,0,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,Married,Aurora,7524.74,Standard,2016,10,58674
3143,106839,2018,12,16,5,21,1680,168.0,0,0,Ontario,London,M5B 3E4,Male,Bachelor,Married,Nova,6511.47,Standard,2014,7,63081
3167,106936,2018,12,1,1,2,3860,386.0,0,0,Ontario,Kingston,M9K 2P4,Female,Bachelor,Married,Nova,57520.5,Standard,2012,11,67299
3191,444931,2018,12,3,0,3,3504,350.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,Doctor,Married,Aurora,5452.63,Standard,2015,1,144697
3215,106964,2018,11,1,1,2,1598,159.0,0,0,New Brunswick,Moncton,E1A 2A7,Female,College,Single,Star,5568.95,Standard,2018,8,79381
3239,106978,2018,12,4,0,4,2096,209.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Divorced,Nova,3455.23,Standard,2012,12,81959
3263,106979,2018,12,2,2,4,2920,292.0,0,0,Quebec,Montreal,H4G 3T4,Male,Bachelor,Single,Star,14083.97,Standard,2012,6,86727
3287,107037,2018,12,0,0,0,0,0.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,Married,Aurora,17732.46,Standard,2017,5,62780
3311,107067,2018,12,5,0,5,3320,332.0,0,0,Quebec,Montreal,H3T 8L4,Female,Bachelor,Married,Star,5137.35,Standard,2016,3,100598
3335,107141,2018,12,7,0,7,3430,343.0,0,0,Manitoba,Winnipeg,R2C 0M5,Male,College,Married,Star,7292.91,Standard,2013,8,79381
3359,107203,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Master,Divorced,Star,3044.79,Standard,2016,3,94014
3383,107212,2018,6,8,1,9,711,71.0,647,52,British Columbia,Vancouver,V6E 3D9,Female,Doctor,Married,Star,6842.58,Standard,2013,2,240146
3407,107296,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Male,Bachelor,Married,Aurora,21892.94,Standard,2017,7,74457
3431,107385,2018,11,7,4,11,1067,106.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,Divorced,Star,7155.47,Standard,2017,11,87890
3455,107461,2018,12,13,2,15,3120,312.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,College,Married,Star,2519.92,Standard,2015,2,79381
3479,107466,2018,12,5,0,5,3505,350.0,0,0,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,Married,Nova,4285.58,Standard,2017,1,66901
3503,107487,2018,12,12,8,20,2880,288.0,0,0,Quebec,Montreal,H2T 2J6,Male,Master,Divorced,Nova,7805.31,Standard,2017,4,105487
3527,107571,2018,12,9,8,17,4454,445.0,0,0,British Columbia,Vancouver,V6E 3Z3,Male,College,Single,Aurora,7486.09,Standard,2017,3,79381
3551,107649,2018,12,8,0,8,3416,341.0,0,0,Alberta,Calgary,T3E 2V9,Male,Bachelor,Married,Aurora,5879.18,Standard,2012,5,94733
3575,107719,2018,12,5,5,10,830,83.0,0,0,British Columbia,Kelowna,V09 2E9,Male,College,Single,Star,2345.08,Standard,2012,7,79381
3599,107730,2018,12,3,3,6,1890,189.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,Single,Aurora,26511.6,Standard,2017,12,52961
3623,107835,2018,11,11,3,14,1596,159.0,0,0,Ontario,Toronto,P1J 8T7,Female,Doctor,Single,Star,3495.89,Standard,2018,9,50363
3647,107902,2018,12,5,5,10,1090,109.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,Single,Nova,4369.5,Standard,2015,4,103122
3671,107993,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,Bachelor,Married,Aurora,23740.12,Standard,2016,6,52414
3695,108264,2018,10,9,4,13,1170,117.0,0,0,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,Married,Star,2515.41,Standard,2013,1,60970
3719,409051,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1L 8X8,Male,College,Single,Aurora,20534.39,Standard,2014,2,79381
3743,572345,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Married,Nova,8104.43,Standard,2013,12,74474
3767,108440,2018,12,0,0,0,0,0.0,0,0,Ontario,London,M5B 3E4,Male,Bachelor,Married,Star,7842.87,Standard,2013,5,100884
3791,108462,2018,12,10,3,13,3939,393.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Bachelor,Married,Star,8186.1,Standard,2016,6,64014
3815,108481,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 2W2,Female,Bachelor,Married,Aurora,11633.58,Standard,2018,11,60934
3839,108528,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Female,Bachelor,Divorced,Star,7858.11,Standard,2014,5,53081
3863,108625,2018,12,12,9,21,5082,508.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,Married,Nova,15470.6,Standard,2016,4,81729
3887,108666,2018,10,6,0,6,1854,185.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Single,Aurora,12036.62,Standard,2015,10,64417
3911,108907,2017,11,10,1,11,858,85.0,433,35,British Columbia,Victoria,V10 6T5,Male,College,Single,Star,2337.36,Standard,2016,8,79381
3935,109022,2018,12,5,5,10,2220,222.0,0,0,Ontario,Toronto,P5S 6R4,Female,Bachelor,Married,Nova,2991.42,Standard,2013,3,57960
3959,245419,2018,12,11,1,12,2892,289.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,College,Single,Nova,3288.66,Standard,2013,10,79381
3983,109029,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,Divorced,Star,5812.0,Standard,2018,10,74819
4007,109203,2018,12,13,0,13,3406,340.0,0,0,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,Married,Star,8092.88,Standard,2014,10,69098
4031,109399,2018,12,0,0,0,0,0.0,0,0,Alberta,Calgary,T3E 2V9,Male,College,Married,Nova,4376.08,Standard,2018,12,79381
4055,109478,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M8Y 4K8,Male,Bachelor,Married,Star,20998.26,Standard,2014,7,84346
4079,109495,2018,12,5,0,5,3110,311.0,0,0,Quebec,Montreal,H2T 2J6,Female,Bachelor,Married,Nova,11218.44,Standard,2014,1,82594
4103,109517,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,College,Divorced,Nova,21295.51,Standard,2015,5,79381
4127,109552,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P2T 6G3,Male,Bachelor,Divorced,Nova,14166.2,Standard,2015,12,81364
4151,109660,2018,12,12,0,12,1236,123.0,0,0,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,Married,Nova,3543.23,Standard,2016,2,58026
4175,109767,2018,12,12,0,12,2880,288.0,0,0,Ontario,Toronto,M1R 4K3,Female,Bachelor,Single,Star,3886.65,Standard,2016,5,89062
4199,109840,2018,12,3,0,3,2628,262.0,0,0,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,Married,Star,4916.37,Standard,2016,9,80921
